VenueID,VenueType,SummaryLength,RedactedTokens,InferenceTime_ms,Score,AgentID
2,Research Lab,102,15,1264.19,0.62,A1505
2,Research Lab,65,3,1384.25,0.67,A1093
2,Research Lab,86,23,1427.25,0.79,A1773
2,Research Lab,67,22,1734.22,0.62,A1048
2,Research Lab,95,18,1275.74,0.88,A1881
2,Research Lab,150,22,2123.66,0.64,A1112
2,Research Lab,77,2,1535.87,0.75,A1156
2,Research Lab,158,4,1277.98,0.93,A1642
2,Research Lab,125,25,812.69,0.81,A1163
2,Research Lab,64,16,1095.06,0.74,A1811
2,Research Lab,148,17,566.79,0.63,A1696
2,Research Lab,150,21,1656.94,0.77,A1432
2,Research Lab,122,9,1361.67,0.71,A1610
2,Research Lab,45,19,1477.85,0.74,A1065
2,Research Lab,148,5,1772.82,0.84,A1394
2,Research Lab,72,20,1004.81,0.67,A1390
2,Research Lab,101,29,1053.86,0.67,A1610
2,Research Lab,94,8,1214.56,0.76,A1479
2,Research Lab,75,23,950.71,0.64,A1541
2,Research Lab,105,19,1026.97,0.67,A1257
2,Research Lab,101,24,1426.62,0.88,A1994
2,Research Lab,175,25,1479.9,0.67,A1566
2,Research Lab,157,3,971.48,0.77,A1881
2,Research Lab,59,16,1754.09,0.9,A1965
2,Research Lab,77,4,1279.79,0.8,A1011
2,Research Lab,139,12,1004.45,0.73,A1696
2,Research Lab,49,4,1214.22,0.62,A1738
2,Research Lab,169,12,1025.23,0.65,A1117
2,Research Lab,112,16,1278.27,0.65,A1698
2,Research Lab,182,23,1586.52,0.64,A1906
2,Research Lab,108,29,1339.35,0.89,A1549
2,Research Lab,117,20,1250.92,0.67,A1768
2,Research Lab,74,0,1226.82,0.89,A1273
3,Research Lab,189,27,1164.04,0.91,A1114
3,Research Lab,53,27,1234.12,0.66,A1300
3,Research Lab,44,18,1286.93,0.74,A1445
3,Research Lab,81,24,1822.62,0.87,A1161
3,Research Lab,111,6,1365.76,0.84,A1464
3,Research Lab,136,22,1288.67,0.77,A1003
3,Research Lab,192,16,1128.25,0.81,A1976
3,Research Lab,143,7,1446.93,0.84,A1739
3,Research Lab,173,2,756.42,0.65,A1896
3,Research Lab,54,14,1543.13,0.84,A1736
3,Research Lab,194,3,1491.02,0.66,A1269
3,Research Lab,125,1,1416.23,0.9,A1995
3,Research Lab,162,9,1511.26,0.64,A1512
3,Research Lab,148,23,1047.0,0.84,A1780
3,Research Lab,54,28,894.41,0.76,A1182
3,Research Lab,169,26,2092.86,0.85,A1519
3,Research Lab,75,25,967.86,0.67,A1934
3,Research Lab,113,7,826.6,0.83,A1108
3,Research Lab,62,14,1444.11,0.96,A1891
3,Research Lab,143,29,749.65,0.64,A1640
3,Research Lab,150,7,1734.65,0.96,A1305
3,Research Lab,111,9,1377.08,0.9,A1861
3,Research Lab,70,25,1011.77,0.67,A1654
3,Research Lab,96,0,1051.38,0.94,A1519
3,Research Lab,94,18,692.26,0.62,A1623
3,Research Lab,176,9,1658.87,0.91,A1203
3,Research Lab,156,25,896.37,0.81,A1156
3,Research Lab,114,5,703.54,0.74,A1382
3,Research Lab,130,16,1066.96,0.96,A1780
3,Research Lab,191,24,1224.8,0.79,A1165
3,Research Lab,127,0,1524.14,0.85,A1552
3,Research Lab,195,17,646.53,0.86,A1976
3,Research Lab,120,19,1883.0,0.94,A1797
3,Research Lab,102,28,711.21,0.67,A1944
3,Research Lab,110,0,938.74,0.77,A1543
3,Research Lab,101,29,716.41,0.67,A1940
3,Research Lab,69,15,986.15,0.9,A1000
3,Research Lab,152,17,1231.93,0.79,A1613
3,Research Lab,102,3,1286.95,0.97,A1331
3,Research Lab,71,9,1123.55,0.71,A1500
3,Research Lab,149,1,1091.43,0.66,A1019
3,Research Lab,174,28,1179.12,0.76,A1114
3,Research Lab,96,22,968.84,0.8,A1951
3,Research Lab,111,21,1012.79,0.73,A1371
3,Research Lab,106,18,833.36,0.64,A1899
3,Research Lab,135,23,1413.9,0.88,A1851
3,Research Lab,159,13,1091.71,0.86,A1826
3,Research Lab,181,22,1547.8,0.95,A1314
3,Research Lab,46,9,699.07,0.95,A1245
3,Research Lab,86,4,1729.41,0.73,A1059
3,Research Lab,169,2,733.01,0.84,A1246
3,Research Lab,176,1,1381.8,0.94,A1899
3,Research Lab,138,19,1249.92,0.98,A1580
3,Research Lab,167,16,907.21,0.79,A1969
3,Research Lab,53,8,1846.57,0.7,A1080
3,Research Lab,61,10,1401.68,0.76,A1087
3,Research Lab,193,25,1289.19,0.87,A1749
3,Research Lab,109,17,1386.84,0.81,A1497
3,Research Lab,81,3,972.11,0.76,A1835
3,Research Lab,161,11,1198.99,0.68,A1070
3,Research Lab,145,21,1276.81,0.83,A1778
3,Research Lab,92,6,1494.81,0.82,A1545
3,Research Lab,184,25,1621.17,0.76,A1784
3,Research Lab,169,27,1051.35,0.97,A1128
3,Research Lab,90,20,769.69,0.75,A1131
3,Research Lab,79,10,1374.31,0.74,A1675
3,Research Lab,152,26,1372.19,0.79,A1486
3,Research Lab,150,23,673.93,0.97,A1969
3,Research Lab,108,23,1382.27,0.62,A1562
3,Research Lab,148,10,744.25,0.73,A1169
3,Research Lab,193,1,1189.5,0.87,A1271
3,Research Lab,81,24,1731.24,0.7,A1540
3,Research Lab,170,17,1389.72,0.71,A1893
3,Research Lab,137,11,1491.77,0.74,A1621
3,Research Lab,83,26,1177.67,0.67,A1433
3,Research Lab,101,15,1386.2,0.94,A1987
3,Research Lab,47,20,1441.44,0.85,A1216
3,Research Lab,64,17,1479.08,0.79,A1951
3,Research Lab,182,26,1445.55,0.61,A1552
3,Research Lab,156,6,1240.15,0.72,A1773
3,Research Lab,111,17,1607.06,0.89,A1747
3,Research Lab,155,6,1092.17,0.78,A1706
3,Research Lab,142,16,817.78,0.82,A1205
3,Research Lab,84,1,1624.21,0.95,A1730
3,Research Lab,147,6,1323.77,0.91,A1319
3,Research Lab,192,12,621.09,0.84,A1408
3,Research Lab,55,12,795.16,0.61,A1687
3,Research Lab,73,29,1375.65,0.6,A1665
3,Research Lab,52,12,1392.27,0.63,A1382
3,Research Lab,85,19,1148.43,0.62,A1448
3,Research Lab,101,20,1979.31,0.71,A1921
3,Research Lab,160,9,1004.89,0.64,A1529
3,Research Lab,142,19,938.21,0.64,A1462
3,Research Lab,181,23,1438.1,0.71,A1123
3,Research Lab,107,17,619.9,0.87,A1253
3,Research Lab,179,26,837.78,0.97,A1230
3,Research Lab,100,4,1150.28,0.94,A1065
3,Research Lab,85,23,952.32,0.78,A1346
3,Research Lab,116,1,1550.13,0.8,A1021
3,Research Lab,113,10,1686.33,0.67,A1602
4,Law Firm,42,23,1051.21,0.98,A1602
4,Law Firm,48,2,1149.57,0.83,A1225
4,Law Firm,100,26,1626.15,0.87,A1007
4,Law Firm,42,2,1028.78,0.69,A1072
4,Law Firm,159,28,1907.21,0.83,A1724
4,Law Firm,137,10,1481.35,0.94,A1646
4,Law Firm,106,26,1363.05,0.81,A1060
4,Law Firm,163,14,1525.08,0.6,A1234
4,Law Firm,172,15,947.73,0.69,A1069
4,Law Firm,67,4,1197.52,0.99,A1927
4,Law Firm,153,7,1212.98,0.95,A1032
4,Law Firm,106,23,1509.14,0.86,A1880
4,Law Firm,79,26,1322.82,0.8,A1338
4,Law Firm,119,7,1391.39,0.7,A1072
4,Law Firm,98,26,1060.65,0.69,A1526
4,Law Firm,139,26,914.9,0.89,A1243
4,Law Firm,46,4,1088.9,0.89,A1285
4,Law Firm,198,17,949.93,0.92,A1685
4,Law Firm,116,28,965.37,0.63,A1497
4,Law Firm,194,16,1015.49,0.82,A1219
4,Law Firm,143,1,1393.65,0.9,A1552
4,Law Firm,109,18,1848.98,0.9,A1135
4,Law Firm,113,8,1171.41,0.85,A1740
4,Law Firm,76,28,1283.71,0.91,A1957
4,Law Firm,187,3,1144.09,0.88,A1903
4,Law Firm,189,16,1078.6,0.83,A1584
4,Law Firm,61,25,1806.12,0.83,A1590
4,Law Firm,46,28,978.04,0.61,A1484
4,Law Firm,173,14,1669.66,0.87,A1248
4,Law Firm,65,1,1180.27,0.71,A1803
4,Law Firm,68,3,765.6,0.66,A1484
4,Law Firm,158,28,540.36,0.87,A1826
4,Law Firm,155,1,982.97,0.65,A1416
4,Law Firm,120,29,1419.34,0.66,A1194
4,Law Firm,131,28,1165.62,0.85,A1096
4,Law Firm,45,18,1389.98,0.71,A1099
4,Law Firm,170,26,1469.37,0.69,A1674
4,Law Firm,103,16,1138.03,0.85,A1441
4,Law Firm,51,17,1175.35,0.98,A1362
4,Law Firm,184,28,1535.19,0.9,A1433
4,Law Firm,118,26,1337.98,0.84,A1420
4,Law Firm,63,27,1382.25,0.98,A1478
4,Law Firm,187,13,1691.43,0.7,A1884
4,Law Firm,48,5,1650.31,0.69,A1746
4,Law Firm,102,21,722.58,0.91,A1055
4,Law Firm,178,12,1369.41,0.66,A1689
4,Law Firm,60,17,918.89,0.98,A1669
4,Law Firm,71,10,1685.64,0.87,A1661
4,Law Firm,72,27,909.91,0.69,A1100
4,Law Firm,160,13,1185.69,0.66,A1062
4,Law Firm,119,21,1651.02,0.82,A1412
4,Law Firm,199,17,1463.21,0.73,A1745
4,Law Firm,41,0,1125.85,0.61,A1347
4,Law Firm,155,25,995.4,0.75,A1819
4,Law Firm,142,25,1496.66,0.68,A1882
4,Law Firm,158,11,1386.99,0.64,A1111
4,Law Firm,100,2,1263.17,0.84,A1254
4,Law Firm,199,8,1464.09,0.88,A1196
4,Law Firm,47,7,1468.56,0.73,A1194
4,Law Firm,166,6,1390.55,0.86,A1549
4,Law Firm,171,5,1140.61,0.85,A1459
4,Law Firm,80,27,1595.18,0.89,A1143
4,Law Firm,51,22,1110.51,0.84,A1432
4,Law Firm,186,22,1849.1,0.78,A1187
4,Law Firm,175,28,1385.61,0.79,A1285
4,Law Firm,121,5,1538.8,0.88,A1473
4,Law Firm,189,4,861.65,0.87,A1255
4,Law Firm,132,21,1369.28,0.61,A1895
4,Law Firm,136,6,1527.31,0.88,A1945
4,Law Firm,63,19,1166.78,0.85,A1077
4,Law Firm,147,29,1267.34,0.77,A1453
4,Law Firm,156,1,1514.13,0.79,A1827
4,Law Firm,105,14,1148.21,0.71,A1882
4,Law Firm,154,25,1465.1,0.96,A1876
4,Law Firm,51,2,1642.96,0.89,A1563
4,Law Firm,138,25,1614.03,0.88,A1100
4,Law Firm,126,9,1297.14,0.79,A1051
4,Law Firm,101,21,1112.55,0.94,A1667
4,Law Firm,150,13,529.67,0.83,A1553
4,Law Firm,109,16,1270.56,0.75,A1856
4,Law Firm,67,1,1715.03,0.75,A1015
4,Law Firm,190,14,1661.28,0.69,A1992
4,Law Firm,49,2,624.4,0.78,A1095
4,Law Firm,115,29,1002.67,0.66,A1948
4,Law Firm,172,19,1376.33,0.7,A1771
4,Law Firm,157,19,1234.55,0.75,A1869
4,Law Firm,146,4,1351.14,0.9,A1242
4,Law Firm,159,11,553.84,0.77,A1170
4,Law Firm,150,14,1675.2,0.61,A1416
4,Law Firm,117,1,1892.34,0.65,A1497
4,Law Firm,76,19,1244.75,0.69,A1492
4,Law Firm,98,4,1056.7,0.64,A1218
4,Law Firm,51,9,1055.72,0.87,A1885
4,Law Firm,165,1,463.46,0.73,A1410
4,Law Firm,68,24,736.66,0.8,A1924
4,Law Firm,190,11,1351.03,0.81,A1060
4,Law Firm,190,29,1532.45,0.68,A1168
4,Law Firm,158,7,888.03,0.98,A1388
4,Law Firm,168,22,1012.87,0.94,A1002
4,Law Firm,125,14,1774.21,0.87,A1399
5,Research Lab,94,22,1245.13,0.79,A1948
5,Research Lab,184,25,1309.49,0.94,A1802
5,Research Lab,152,11,1259.49,0.96,A1803
5,Research Lab,40,18,1122.12,0.97,A1465
5,Research Lab,181,20,1451.76,0.74,A1292
5,Research Lab,102,8,1744.61,0.94,A1433
5,Research Lab,128,15,1099.65,0.71,A1713
5,Research Lab,107,1,1261.86,0.76,A1980
5,Research Lab,171,5,1470.44,0.94,A1748
5,Research Lab,62,18,1158.34,0.94,A1802
5,Research Lab,168,23,1493.88,0.73,A1569
5,Research Lab,104,11,799.56,0.84,A1677
5,Research Lab,182,20,1462.45,0.83,A1735
5,Research Lab,74,11,552.91,0.61,A1498
5,Research Lab,50,2,1335.33,0.9,A1158
5,Research Lab,48,2,885.3,0.81,A1194
5,Research Lab,111,15,1226.88,0.7,A1303
5,Research Lab,54,10,845.58,0.9,A1222
5,Research Lab,109,13,1124.19,0.96,A1991
5,Research Lab,54,3,1317.63,0.96,A1059
5,Research Lab,58,1,1317.12,0.8,A1593
5,Research Lab,66,28,866.99,0.91,A1753
5,Research Lab,74,7,1475.49,0.88,A1555
5,Research Lab,116,3,728.85,0.92,A1062
5,Research Lab,133,10,1037.9,0.72,A1765
5,Research Lab,81,23,1354.06,0.98,A1321
5,Research Lab,157,6,1061.51,0.81,A1058
5,Research Lab,86,26,1545.7,0.6,A1051
5,Research Lab,189,21,1963.81,0.91,A1598
5,Research Lab,54,9,1323.92,0.67,A1488
5,Research Lab,160,28,1252.95,0.82,A1514
5,Research Lab,130,4,1279.62,0.72,A1941
5,Research Lab,191,18,1330.67,0.92,A1873
5,Research Lab,186,3,1467.68,0.66,A1543
5,Research Lab,108,14,1350.84,0.78,A1161
5,Research Lab,188,16,1091.85,0.67,A1058
5,Research Lab,76,14,989.9,0.85,A1983
5,Research Lab,117,12,1007.1,0.83,A1520
5,Research Lab,192,1,1400.09,0.86,A1082
5,Research Lab,81,21,735.14,0.77,A1871
5,Research Lab,63,27,1316.99,0.73,A1190
5,Research Lab,71,6,1561.22,0.9,A1070
5,Research Lab,75,7,1539.21,0.76,A1609
5,Research Lab,136,26,1714.71,0.73,A1069
5,Research Lab,52,16,1348.01,0.63,A1691
5,Research Lab,199,20,1489.62,0.71,A1882
5,Research Lab,89,2,601.88,0.73,A1240
5,Research Lab,109,1,1312.22,0.99,A1413
5,Research Lab,41,5,1701.77,0.78,A1122
5,Research Lab,47,21,1325.71,0.82,A1964
5,Research Lab,75,4,1361.63,0.68,A1911
5,Research Lab,145,29,923.8,0.76,A1583
5,Research Lab,94,15,1193.99,0.75,A1252
5,Research Lab,62,27,1315.08,0.98,A1592
5,Research Lab,157,4,1459.6,0.7,A1608
5,Research Lab,69,20,1429.23,0.64,A1040
5,Research Lab,189,17,1327.55,0.84,A1634
5,Research Lab,77,19,1300.7,0.88,A1083
5,Research Lab,181,3,878.82,0.74,A1429
5,Research Lab,124,1,933.08,0.97,A1673
5,Research Lab,114,2,868.99,0.83,A1597
5,Research Lab,94,5,554.13,0.96,A1578
5,Research Lab,182,21,601.82,0.8,A1535
5,Research Lab,88,9,1565.5,0.81,A1323
5,Research Lab,74,29,1370.53,0.72,A1957
5,Research Lab,112,14,1379.88,0.76,A1267
5,Research Lab,105,26,889.03,0.98,A1209
5,Research Lab,49,24,1593.92,0.82,A1685
5,Research Lab,93,0,1192.49,0.84,A1733
5,Research Lab,93,13,1445.33,0.67,A1321
5,Research Lab,170,2,880.47,0.74,A1244
5,Research Lab,175,20,1108.43,0.61,A1271
5,Research Lab,64,14,1216.99,0.98,A1405
5,Research Lab,135,27,1358.91,0.72,A1134
5,Research Lab,117,19,918.2,0.85,A1687
5,Research Lab,132,10,1156.77,0.84,A1660
5,Research Lab,99,22,1135.97,0.62,A1307
5,Research Lab,50,17,1647.22,0.62,A1468
5,Research Lab,95,14,1015.98,0.87,A1323
5,Research Lab,136,3,1109.26,0.85,A1951
5,Research Lab,79,16,980.17,0.67,A1769
5,Research Lab,163,5,989.5,0.77,A1958
5,Research Lab,102,4,1161.45,0.68,A1074
5,Research Lab,46,26,1496.81,0.76,A1009
5,Research Lab,53,6,1463.59,0.6,A1469
5,Research Lab,169,29,1428.66,0.79,A1636
5,Research Lab,118,20,1036.13,0.81,A1576
5,Research Lab,104,12,1317.54,0.6,A1102
5,Research Lab,121,4,1195.41,0.64,A1075
5,Research Lab,178,20,1373.79,0.93,A1550
5,Research Lab,156,25,1419.7,0.92,A1218
5,Research Lab,196,5,828.51,0.75,A1518
5,Research Lab,81,12,1339.51,0.92,A1271
5,Research Lab,87,28,1250.0,0.71,A1135
5,Research Lab,97,27,1376.46,0.79,A1955
5,Research Lab,47,26,1352.6,0.78,A1357
5,Research Lab,118,16,1209.6,0.66,A1902
5,Research Lab,199,11,973.97,0.8,A1070
5,Research Lab,140,7,1090.4,0.63,A1900
5,Research Lab,191,16,1255.4,0.97,A1250
6,Research Lab,60,7,795.86,0.74,A1291
6,Research Lab,182,18,908.52,0.86,A1161
6,Research Lab,67,18,1555.71,0.7,A1448
6,Research Lab,77,14,1415.69,0.63,A1853
6,Research Lab,120,7,1382.14,0.75,A1556
6,Research Lab,88,3,1593.35,0.84,A1720
6,Research Lab,117,8,1336.77,0.62,A1309
6,Research Lab,153,9,1849.5,0.91,A1626
6,Research Lab,179,26,1217.1,0.83,A1826
6,Research Lab,134,15,1280.58,0.92,A1669
6,Research Lab,163,1,1090.51,0.96,A1541
6,Research Lab,192,7,948.24,0.77,A1008
6,Research Lab,163,25,1373.83,0.69,A1683
6,Research Lab,71,18,1244.31,0.95,A1836
6,Research Lab,159,20,1458.14,0.94,A1567
6,Research Lab,51,8,1025.08,0.81,A1306
6,Research Lab,188,12,1311.75,0.67,A1954
6,Research Lab,125,21,1679.74,0.98,A1679
6,Research Lab,61,27,1319.91,0.92,A1106
6,Research Lab,134,14,1004.59,0.8,A1961
6,Research Lab,127,11,1292.65,0.83,A1899
6,Research Lab,42,21,1710.66,0.82,A1137
6,Research Lab,196,29,1298.6,0.9,A1270
6,Research Lab,150,7,1470.07,0.78,A1118
6,Research Lab,183,7,1448.54,0.99,A1911
6,Research Lab,143,2,921.99,0.76,A1109
6,Research Lab,145,1,1278.2,0.89,A1760
6,Research Lab,194,1,779.85,0.74,A1566
6,Research Lab,52,8,1159.79,0.9,A1159
6,Research Lab,93,11,1204.41,0.89,A1278
6,Research Lab,53,24,1163.72,0.73,A1288
6,Research Lab,109,23,1325.86,0.8,A1619
6,Research Lab,171,14,1718.09,0.95,A1215
6,Research Lab,193,4,1080.11,0.86,A1734
6,Research Lab,93,7,1081.81,0.75,A1351
6,Research Lab,56,22,1076.45,0.94,A1208
6,Research Lab,53,2,1237.93,0.82,A1703
6,Research Lab,171,23,993.62,0.84,A1649
6,Research Lab,197,17,1108.09,0.73,A1873
6,Research Lab,102,13,1219.68,0.66,A1270
6,Research Lab,191,12,1365.98,0.8,A1517
6,Research Lab,133,22,1051.87,0.89,A1500
6,Research Lab,185,19,1431.93,0.72,A1257
6,Research Lab,184,5,1464.66,0.85,A1927
6,Research Lab,86,26,1455.03,0.97,A1929
6,Research Lab,108,24,1462.71,0.82,A1866
6,Research Lab,177,17,1353.52,0.83,A1052
6,Research Lab,157,12,943.4,0.87,A1094
6,Research Lab,148,18,1509.89,0.93,A1649
6,Research Lab,88,20,1141.52,0.78,A1433
6,Research Lab,44,3,1191.75,0.77,A1849
6,Research Lab,96,3,1731.68,0.9,A1283
6,Research Lab,99,11,1318.59,0.86,A1045
6,Research Lab,75,20,1027.97,0.63,A1003
6,Research Lab,147,9,907.09,0.7,A1341
6,Research Lab,53,23,932.26,0.98,A1789
6,Research Lab,183,21,1548.07,0.7,A1133
6,Research Lab,112,12,1128.21,0.93,A1652
6,Research Lab,146,19,1515.92,0.73,A1268
6,Research Lab,46,5,1809.99,0.95,A1165
6,Research Lab,199,23,881.07,0.94,A1759
6,Research Lab,188,9,1241.43,0.92,A1452
6,Research Lab,159,13,1438.28,0.68,A1564
6,Research Lab,88,18,823.71,0.72,A1722
6,Research Lab,124,11,957.47,0.66,A1437
